CLUSTER_ID,TRAJECTORY_ID,EASTINGS_M,NORTHINGS_M,ALTITUDE_M
1,2,-46528.96348,4652332.124,10625
1,2,-44797.25285,4652087.25,11100
1,2,-42524.83866,4651766.97,11675
1,2,-40762.58117,4651509.769,12050
1,2,-34330.66203,4650605.345,13575
1,2,-27437.49324,4649627.959,15525
1,2,-20884.42893,4648711.652,17325
1,2,-13553.98296,4647689.4,19150
1,2,1066.660867,4645600.474,22375
1,2,15769.24406,4643889.799,25125
1,2,31645.11551,4644096.581,27875
1,2,48048.14088,4644442.737,30300
1,2,65039.7346,4644716.818,33425
1,2,81017.10824,4644746.469,36000
1,2,97472.80891,4642982.376,37875
1,2,113557.7781,4640854.915,39025
1,2,130073.45,4638635.945,39025
1,2,145878.286,4636475.389,39000
1,2,161752.2332,4634289.402,39000
1,2,177988.9746,4632006.799,39000
1,2,194455.6593,4629652.232,39000
1,2,210224.4965,4627350.193,39000
1,2,226054.4274,4625291.363,39000
1,2,242530.2521,4624960.866,39000
1,2,259055.7055,4624711.772,39025
1,2,276702.4132,4624035.676,39000
1,2,293416.8402,4623401.89,39000
1,2,313362.1795,4622607.188,39000
